devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,radio.silenceN
-0.717720268,-0.559925,-0.437085277,-0.701687502,1.144629642,-0.477111256,-1.041139683,-0.74556375,-1.247575835,-0.567723149,-0.527983484,-0.445333063,-0.691754752,-0.674756321,-0.518520715,-1.044548162,-2.684927045,-0.447098731,-0.383454611,-0.45488502,-0.461759462,-0.375700554,-1.373359226,1.93979951,-0.993204957,-0.528698237,-0.78891015,0.333689026,-0.380251522,0.185405955,0.355786981,-0.843792092,-1.492775967,1.570778354,-0.568226363,-0.31762739,-0.768193232,0.68272873,-0.05237172,-1.104104807,INCREASE
-0.659361039,-0.504599756,-0.391986195,-0.701687502,0.859889357,-0.168145791,-1.090196363,-0.74556375,-1.247575835,-0.567723149,-0.527983484,-0.346900437,-0.534537763,-0.595311859,-0.396819551,-1.044548162,-3.543848945,-0.2981937,-0.383454611,-0.305521817,-0.235798548,-0.375700554,2.895639675,0.890839973,-1.862146619,-0.741089812,-2.020289569,-0.257725032,-1.056621914,0.012856917,1.096381496,-1.38345616,-1.378246711,1.928553131,-0.48078654,-0.177435185,-0.768193232,0.147916545,0.62651201,-1.104104807,INCREASE
-0.626939245,-0.438209463,-0.403260965,-0.701687502,1.088798213,-0.379752364,-1.110301559,-0.74556375,-1.247575835,-0.567723149,-0.527983484,-0.445333063,-0.601916472,-0.568830372,-0.518520715,-1.044548162,-1.735434469,-0.321071292,-0.328157253,-0.218957482,-0.301639608,0.091614117,1.946973253,0.708161891,-0.432836329,-0.123672441,0.031763236,-0.076025532,-0.546405702,-0.250475763,0.512379015,-0.886965218,-0.107486702,0.791429801,-0.451639932,-0.31762739,-0.768193232,0.813425745,-0.218276835,-1.104104807,DECREASE
-0.717720268,-0.559925,-0.437085277,-0.701687502,1.144629642,-0.477111256,-1.041139683,-0.689550992,-0.82193985,-0.567723149,-0.527983484,-0.346900437,-0.714214322,-0.674756321,-0.599654823,1.758636526,1.063859183,-0.055542145,-0.103396862,-0.07802273,-0.111541059,0.714754867,0.659632918,-1.601224075,-0.63032307,-0.528698237,1.673110009,-0.160818632,-0.652723007,-0.833054225,-0.370328134,-0.375732232,-0.35166565,0.277284929,-0.568226363,-0.41108886,-0.768193232,1.336213805,-0.881897294,-1.104104807,INCREASE
-0.575064375,-0.360754122,-0.391986195,-0.701687502,1.133970914,-0.409556106,-1.133623587,-0.689550992,-0.988430116,-0.567723149,-0.527983484,-0.445333063,-0.556997333,-0.515867397,-0.437386606,-1.044548162,-1.335364003,-0.306966311,-0.317811973,-0.217990283,-0.214575313,-0.375700554,-1.373359226,0.147565252,-0.176103565,0.17886207,-1.281609654,-0.264850503,0.158814611,1.039132907,0.85023169,-0.249898367,1.057430259,0.552496296,-0.393346717,-0.22416592,-0.768193232,0.464726109,0.224358011,-1.104104807,DECREASE
-0.588033092,-0.393949268,-0.380711424,-0.701687502,1.006573746,-0.287857491,-1.12879834,-0.689550992,-0.979743668,-0.567723149,-0.527983484,-0.346900437,-0.534537763,-0.515867397,-0.437386606,-1.044548162,-2.684927045,-0.144759021,-0.333461178,-0.229942102,-0.25162842,-0.103086699,0.425786644,-0.164400758,-0.576014216,-0.179240005,-1.012730164,-0.300477856,-1.026169218,0.059751777,1.199346121,-1.399251206,-0.348770248,1.516987041,-0.393346717,-0.22416592,-0.768193232,0.464726109,0.224358011,-1.104104807,DECREASE
-0.672329756,-0.504599756,-0.403260965,-0.73460716,1.050223772,-0.238681316,-1.277576795,-0.74556375,-1.247575835,-0.567723149,-0.527983484,-0.445333063,-0.624376042,-0.621793346,-0.437386606,-1.044548162,-3.025616737,-0.169471407,-0.162317693,-0.213085201,-0.189359588,-0.239393627,0.689041577,-0.12147926,-0.966050531,-0.553394931,-2.020289569,-0.225660415,-0.934811132,0.088008937,-0.520484879,-0.576855817,-1.544571502,1.56452355,-0.509933148,-0.22416592,-0.768193232,0.290637685,0.445343624,-1.104104807,INCREASE
-0.555611299,-0.438209463,-0.380711424,-0.405410579,0.319847179,-0.36584395,0.085555532,-0.689550992,-1.002907531,-0.567723149,-0.527983484,0.834291077,-0.467159053,-0.436422935,-0.315685442,-0.306749952,-0.743355682,-0.309489153,-0.308411948,-0.262066935,-0.318099873,0.02084356,0.207593367,-0.48945259,-0.777203834,-0.363230381,-0.912269696,-0.269125785,-0.720573749,0.522087007,-0.593954429,-0.493668575,-0.958091629,0.941545092,-0.422493325,-0.270896655,-0.254767882,-0.071131652,-0.116079284,0.279841981,INCREASE
-0.70475155,-0.582055098,-0.448360048,-0.537089211,0.630472943,-0.655933711,0.063037711,-0.74556375,-1.247575835,-0.567723149,-0.527983484,0.637425825,-0.669295182,-0.648274833,-0.356252497,-0.110246705,-1.685050782,-0.072915354,0.03665827,-0.016812833,-0.019363575,-0.207933988,-0.149105208,1.435210192,-1.032702306,-0.355821373,-2.758969485,0.299486768,-0.740875546,0.030292185,-1.343665604,-0.652145535,-1.271760239,1.774684957,-0.655666185,-0.31762739,-0.254767882,-0.508705259,-0.101479634,1.013207802,INCREASE
-0.685298474,-0.537794903,-0.470909589,-0.504169553,0.869025409,-0.952977679,0.165976318,-0.689550992,-0.876954025,-0.567723149,-0.527983484,0.735858451,-0.669295182,-0.621793346,-0.437386606,1.1116615,0.243324853,-0.2330585,-0.217615051,-0.238992324,-0.280976722,-0.048563928,0.99830683,2.117243264,-0.611808688,0.093658473,-1.609583536,0.984244491,-0.213563085,0.29903581,-1.403192027,-1.284473872,-1.431329091,1.224262224,-0.626519578,-0.41108886,-0.254767882,0.029243655,-0.881897294,1.1454836,DECREASE
-0.685298474,-0.582055098,-0.403260965,-0.570008869,0.34877801,-0.189008411,-0.246582315,-0.633538235,-0.504884474,-0.567723149,-0.527983484,0.932723703,-0.691754752,-0.648274833,-0.47795366,-0.243678297,-0.056578045,-0.18248698,-0.287983959,-0.142894168,-0.1454422,-0.06415744,2.842988689,0.238642577,-0.29459561,-0.542281419,-0.031763236,-0.171506838,-0.451307812,0.294827297,-1.151143206,-0.865905156,-0.139979552,0.904016269,-0.59737297,-0.364358125,-0.511480557,0.355986193,-0.467134507,0.020689396,DECREASE
-0.28326823,-0.139453145,-0.245414175,-0.306651604,0.281780296,-0.125923823,-0.242561276,-0.29746169,-0.100964611,0.271464484,0.816629678,-0.54376569,-0.130265505,-0.0921636,-0.193984279,-0.413831607,-0.694771412,-0.447098731,-0.383454611,-0.45488502,-0.461759462,-0.375700554,-1.373359226,-0.043487757,-0.435304913,-0.194058022,-0.43729851,-0.369594921,-0.56403621,0.455352013,-0.277552717,-0.691106649,0.424302234,0.299802223,-0.072734034,-0.177435185,-0.126411545,0.061133727,-0.072280334,-0.006305664,DECREASE
-0.224909001,-0.084127901,-0.177765551,-0.37249092,0.241175621,0.056375736,-0.473368933,-0.353474447,-0.326812276,0.271464484,0.680049007,-0.54376569,0.004491914,-0.012719139,-0.072283115,-0.691066573,-1.306573325,-0.202555043,-0.156383599,-0.181789396,-0.18158474,-0.186070356,-0.424692803,0.041831806,-0.709317767,-0.439790135,-0.78891015,-0.376007844,-0.775602304,0.511866332,-0.241086079,-0.062990324,-0.102661031,0.356095457,0.014705788,-0.03724298,-0.126411545,-0.109817969,0.247584728,-0.146679981,INCREASE
-0.12764362,0.059717733,-0.15521601,-0.37249092,0.375678607,-0.015649975,-0.569873876,-0.241448932,-0.205201995,-0.567723149,-0.527983484,-0.54376569,-0.040427226,0.040243836,-0.234551333,-0.182008233,-0.05297921,-0.168955372,-0.094627005,-0.101788198,-0.129051979,-0.078278838,0.374084324,0.100979724,0.107783625,0.103537151,0.051707594,-0.424461044,-0.979688789,0.05614448,0.375092848,-1.052286698,-0.33558008,0.258520518,0.043852396,-0.270896655,0.001944793,0.267112222,-0.429308141,0.123270628,DECREASE
